whatever text,0123456789,
whatever text,123,
currency,EUR,
whatever text,40.00,
,,,
header 0,header 1,header 2,header 3,header 4,header 5,header 6,header 7,header 8,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1,MTL_1,SN_2,SN_2,"R,M",9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
MTL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
TL_1, MTL_1,SN_1,SN_1,R,9.99,20220101,5123456789,10,
